code,lifecycle_state,expectation_state,research_stage,research_priority,radar,drivers,risks,priority_note,ind,nm,cl_pct,sw1,sw2,sw3,sub
688416,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+576%，营收+203%）; 🟢 ROIC提升（+6.2pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,恒烁股份,576,电子,半导体,数字芯片设计,半导体(设计/封测/材料)
002222,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+536%，营收+39%）; 🟢 健康扩产（CAPEX+166%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,福晶科技,536,电子,光学光电子,光学元件,光学/显示
301389,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+420%，营收+121%）; 🟢 定价权稳定（毛利50%，波动1.2pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,隆扬电子,420,电子,消费电子,消费电子零部件及组装,消费电子/结构件
300303,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+328%，营收+1%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,聚飞光电,328,电子,光学光电子,LED,光学/显示
688299,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+326%，营收+-15%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,长阳科技,326,电子,光学光电子,面板,光学/显示
603042,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+308%，营收+5%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,华脉科技,308,通信,通信设备,通信线缆及配套,光模块/光通信
688127,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+281%，营收+76%）; 🟢 ROIC提升（+4.7pp），资本效率持续改善; 🟢 强定价权（毛利44%，+6pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,蓝特光学,281,电子,光学光电子,光学元件,光学/显示
688781,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+277%，营收+288%）; 🟢 健康扩产（CAPEX+68%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,视涯科技,277,电子,光学光电子,面板,光学/显示
002281,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+264%，营收+26%）; 🟢 健康扩产（CAPEX+33%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,光迅科技,264,通信,通信设备,通信网络设备及器件,光模块/光通信
301285,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+253%，营收+-2%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,鸿日达,253,电子,消费电子,消费电子零部件及组装,消费电子/结构件
300964,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+242%，营收+61%）; 🟢 ROIC提升（+0.7pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,本川智能,242,电子,元件,印制电路板,PCB/连接器
002635,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+241%，营收+11%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,安洁科技,241,电子,消费电子,消费电子零部件及组装,消费电子/结构件
688039,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+220%，营收+3%）; 🟢 ROIC提升（+0.3pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,当虹科技,220,计算机,IT服务Ⅱ,IT服务Ⅲ,其他
301630,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+215%，营收+32%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,同宇新材,215,电子,电子化学品Ⅱ,电子化学品Ⅲ,其他
300782,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+214%，营收+6%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,卓胜微,214,电子,半导体,模拟芯片设计,半导体(设计/封测/材料)
603986,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+213%，营收+179%）; 🟢 健康扩产（CAPEX+106%，ROIC↑），产能释放可期; 🟢 强定价权（毛利50%，+12pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,兆易创新,213,电子,半导体,数字芯片设计,半导体(设计/封测/材料)
688195,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+210%，营收+63%）; 🟢 强定价权（毛利38%，+1pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,腾景科技,210,电子,光学光电子,光学元件,光学/显示
688167,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+210%，营收+7%）; 🟢 ROIC提升（+1.7pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,炬光科技,210,电子,半导体,分立器件,半导体(设计/封测/材料)
301348,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+192%，营收+25%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,蓝箭电子,192,电子,半导体,集成电路封测,半导体(设计/封测/材料)
002920,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+188%，营收+2%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,德赛西威,188,计算机,软件开发,垂直应用软件,AI软件/IT服务
301577,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+184%，营收+36%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,美信科技,184,通信,通信设备,通信网络设备及器件,光模块/光通信
002866,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+176%，营收+3%）; 🟢 ROIC提升（+1.2pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,传艺科技,176,电子,消费电子,消费电子零部件及组装,消费电子/结构件
688521,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+176%，营收+91%）; 🟢 健康扩产（CAPEX+52%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,芯原股份,176,电子,半导体,数字芯片设计,半导体(设计/封测/材料)
603626,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+175%，营收+-30%），需求强劲; 🟢 ROIC提升（+7.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,科森科技,175,电子,消费电子,消费电子零部件及组装,消费电子/结构件
688775,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+163%，营收+50%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,影石创新,163,电子,消费电子,品牌消费电子,消费电子/结构件
301567,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+156%，营收+6%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,贝隆精密,156,电子,消费电子,消费电子零部件及组装,消费电子/结构件
002993,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+155%，营收+148%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,奥海科技,155,电子,消费电子,消费电子零部件及组装,消费电子/结构件
605398,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+153%，营收+-3%），需求强劲; 🟢 定价权稳定（毛利42%，波动1.5pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,新炬网络,153,计算机,IT服务Ⅱ,IT服务Ⅲ,其他
301600,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+152%，营收+31%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,慧翰股份,152,计算机,计算机设备,其他计算机设备,算力/服务器硬件
688507,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+149%，营收+27%）; 🟢 强定价权（毛利55%，+7pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,索辰科技,149,计算机,软件开发,垂直应用软件,AI软件/IT服务
688359,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+139%，营收+50%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,三孚新科,139,电子,电子化学品Ⅱ,电子化学品Ⅲ,其他
300793,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+138%，营收+13%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,佳禾智能,138,电子,消费电子,消费电子零部件及组装,消费电子/结构件
688668,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+136%，营收+31%）; 🟢 健康扩产（CAPEX+57%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,鼎通科技,136,通信,通信设备,通信网络设备及器件,光模块/光通信
301319,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+131%，营收+41%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,唯特偶,131,电子,电子化学品Ⅱ,电子化学品Ⅲ,其他
605058,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+131%，营收+15%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,澳弘电子,131,电子,元件,印制电路板,PCB/连接器
688019,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+129%，营收+34%）; 🟢 健康扩产（CAPEX+38%，ROIC↑），产能释放可期; 🟢 定价权稳定（毛利56%，波动1.2pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,安集科技,129,电子,电子化学品Ⅱ,电子化学品Ⅲ,其他
002815,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+127%，营收+23%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,崇达技术,127,电子,元件,印制电路板,PCB/连接器
300373,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+125%，营收+31%）; 🟢 ROIC提升（+1.0pp），资本效率持续改善; 🟢 强定价权（毛利35%，+2pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,扬杰科技,125,电子,半导体,分立器件,半导体(设计/封测/材料)
300398,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+125%，营收+18%）; 🟢 健康扩产（CAPEX+50%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,飞凯材料,125,电子,电子化学品Ⅱ,电子化学品Ⅲ,其他
688159,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+125%，营收+-42%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,有方科技,125,通信,通信设备,通信终端及配件,光模块/光通信
300213,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+124%，营收+4%）; 🟢 定价权稳定（毛利43%，波动0.2pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,佳讯飞鸿,124,通信,通信设备,其他通信设备,光模块/光通信
688582,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+122%，营收+-38%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,芯动联科,122,电子,半导体,模拟芯片设计,半导体(设计/封测/材料)
301095,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+122%，营收+39%）; 🟢 健康扩产（CAPEX+41%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,广立微,122,计算机,软件开发,垂直应用软件,AI软件/IT服务
300308,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+121%，营收+182%），需求强劲; 🟢 健康扩产（CAPEX+78%，ROIC↑），产能释放可期; 🟢 强定价权（毛利44%，+8pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,中际旭创,121,通信,通信设备,通信网络设备及器件,光模块/光通信
603459,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+117%，营收+22%）; 🟢 健康扩产（CAPEX+57%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,红板科技,117,电子,元件,印制电路板,PCB/连接器
688279,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+112%，营收+50%）; 🟢 定价权稳定（毛利52%，波动0.7pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,峰岹科技,112,电子,半导体,数字芯片设计,半导体(设计/封测/材料)
300556,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+107%，营收+33%）; 🟢 健康扩产（CAPEX+78%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,丝路视觉,107,计算机,软件开发,垂直应用软件,AI软件/IT服务
688820,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+106%，营收+7%）; 🟢 ROIC提升（+1.5pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,盛合晶微,106,电子,半导体,集成电路封测,半导体(设计/封测/材料)
688678,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+102%，营收+65%）; 🟢 ROIC提升（+0.6pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,福立旺,102,电子,消费电子,消费电子零部件及组装,消费电子/结构件
603881,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+101%，营收+-4%），需求强劲; 🟢 健康扩产（CAPEX+139%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,数据港,101,通信,通信服务,通信应用增值服务,其他
688368,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+100%，营收+99%）; 🟢 健康扩产（CAPEX+64%，ROIC↑），产能释放可期; 🟢 强定价权（毛利38%，+0pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,晶丰明源,100,电子,半导体,模拟芯片设计,半导体(设计/封测/材料)
688371,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+95%，营收+-22%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,菲沃泰,95,电子,电子化学品Ⅱ,电子化学品Ⅲ,其他
688550,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+93%，营收+2%）; 🟢 ROIC提升（+0.6pp），资本效率持续改善; 🟢 定价权稳定（毛利43%，波动1.3pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,瑞联新材,93,电子,电子化学品Ⅱ,电子化学品Ⅲ,其他
688401,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+92%，营收+23%）; 🟢 健康扩产（CAPEX+53%，ROIC↑），产能释放可期; 🟢 定价权稳定（毛利35%，波动0.7pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,路维光电,92,电子,半导体,半导体材料,半导体(设计/封测/材料)
603920,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+92%，营收+17%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,世运电路,92,电子,元件,印制电路板,PCB/连接器
300046,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+92%，营收+22%）; 🟢 ROIC提升（+1.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,台基股份,92,电子,半导体,分立器件,半导体(设计/封测/材料)
300130,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+91%，营收+27%）; 🟢 健康扩产（CAPEX+250%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,新国都,91,计算机,计算机设备,其他计算机设备,算力/服务器硬件
300077,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+91%，营收+43%）; 🟢 ROIC提升（+2.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,国民技术,91,电子,半导体,数字芯片设计,半导体(设计/封测/材料)
300814,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+89%，营收+38%）; 🟢 ROIC提升（+0.0pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,中富电路,89,电子,元件,印制电路板,PCB/连接器
300936,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+86%，营收+49%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,中英科技,86,电子,元件,印制电路板,PCB/连接器
300590,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+83%，营收+68%）; 🟢 定价权稳定（毛利40%，波动1.8pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,移为通信,83,通信,通信设备,通信终端及配件,光模块/光通信
300679,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+83%，营收+4%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,电连技术,83,电子,消费电子,消费电子零部件及组装,消费电子/结构件
300414,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+82%，营收+23%）; 🟢 健康扩产（CAPEX+91%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,中光防雷,82,通信,通信设备,其他通信设备,光模块/光通信
603297,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+78%，营收+28%）; 🟢 定价权稳定（毛利38%，波动1.6pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,永新光学,78,电子,光学光电子,光学元件,光学/显示
301391,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+77%，营收+16%）; 🟢 健康扩产（CAPEX+35%，ROIC↑），产能释放可期; 🟢 定价权稳定（毛利45%，波动0.3pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,卡莱特,77,计算机,计算机设备,其他计算机设备,算力/服务器硬件
301626,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+75%，营收+10%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,苏州天脉,75,电子,消费电子,消费电子零部件及组装,消费电子/结构件
688655,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+69%，营收+77%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,迅捷兴,69,电子,元件,印制电路板,PCB/连接器
688720,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+65%，营收+24%）; 🟢 ROIC提升（+0.6pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,艾森股份,65,电子,半导体,半导体材料,半导体(设计/封测/材料)
300698,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+65%，营收+21%）; 🟢 ROIC提升（+0.2pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,万马科技,65,通信,通信设备,通信网络设备及器件,光模块/光通信
300102,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+64%，营收+-49%），需求强劲; 🟢 ROIC提升（+0.4pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,乾照光电,64,电子,光学光电子,LED,光学/显示
300831,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+63%，营收+33%）; 🟢 强定价权（毛利58%，+7pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,派瑞股份,63,电子,半导体,分立器件,半导体(设计/封测/材料)
688593,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+61%，营收+9%）; 🟢 ROIC提升（+0.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,新相微,61,电子,半导体,数字芯片设计,半导体(设计/封测/材料)
688153,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+59%，营收+-1%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,唯捷创芯,59,电子,半导体,模拟芯片设计,半导体(设计/封测/材料)
301123,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+57%，营收+40%）; 🟢 ROIC提升（+0.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,奕东电子,57,电子,消费电子,消费电子零部件及组装,消费电子/结构件
300739,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+57%，营收+30%）; 🟢 健康扩产（CAPEX+95%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,明阳电路,57,电子,元件,印制电路板,PCB/连接器
688109,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+56%，营收+-15%），需求强劲; 🟢 健康扩产（CAPEX+111%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,品茗科技,56,计算机,软件开发,垂直应用软件,AI软件/IT服务
603375,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+56%，营收+-17%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,盛景微,56,电子,半导体,模拟芯片设计,半导体(设计/封测/材料)
688378,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+55%，营收+64%）; 🟢 ROIC提升（+1.1pp），资本效率持续改善; 🟢 强定价权（毛利51%，+2pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,奥来德,55,电子,光学光电子,光学元件,光学/显示
300925,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+52%，营收+25%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,法本信息,52,计算机,软件开发,垂直应用软件,AI软件/IT服务
300253,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+52%，营收+18%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,卫宁健康,52,计算机,软件开发,垂直应用软件,AI软件/IT服务
002962,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+52%，营收+1%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,五方光电,52,电子,光学光电子,光学元件,光学/显示
