code,lifecycle_state,expectation_state,research_stage,research_priority,radar,drivers,risks,priority_note,ind,nm,cl_pct
688521,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+176%，营收+91%）; 🟢 健康扩产（CAPEX+52%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,芯原股份,176
603626,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+175%，营收+-30%），需求强劲; 🟢 ROIC提升（+7.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,科森科技,175
688775,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+163%，营收+50%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,影石创新,163
301567,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+156%，营收+6%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,贝隆精密,156
002993,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+155%，营收+148%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,奥海科技,155
605398,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+153%，营收+-3%），需求强劲; 🟢 定价权稳定（毛利42%，波动1.5pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,新炬网络,153
301600,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+152%，营收+31%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,慧翰股份,152
688507,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+149%，营收+27%）; 🟢 强定价权（毛利55%，+7pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,索辰科技,149
688359,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+139%，营收+50%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,三孚新科,139
300793,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+138%，营收+13%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,佳禾智能,138
688668,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+136%，营收+31%）; 🟢 健康扩产（CAPEX+57%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,鼎通科技,136
301319,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+131%，营收+41%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,唯特偶,131
605058,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+131%，营收+15%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,澳弘电子,131
688019,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+129%，营收+34%）; 🟢 健康扩产（CAPEX+38%，ROIC↑），产能释放可期; 🟢 定价权稳定（毛利56%，波动1.2pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,安集科技,129
002815,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+127%，营收+23%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,崇达技术,127
300373,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+125%，营收+31%）; 🟢 ROIC提升（+1.0pp），资本效率持续改善; 🟢 强定价权（毛利35%，+2pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,扬杰科技,125
300398,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+125%，营收+18%）; 🟢 健康扩产（CAPEX+50%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,飞凯材料,125
688159,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+125%，营收+-42%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,有方科技,125
300213,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+124%，营收+4%）; 🟢 定价权稳定（毛利43%，波动0.2pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,佳讯飞鸿,124
688582,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+122%，营收+-38%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,芯动联科,122
301095,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+122%，营收+39%）; 🟢 健康扩产（CAPEX+41%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,广立微,122
300308,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+121%，营收+182%），需求强劲; 🟢 健康扩产（CAPEX+78%，ROIC↑），产能释放可期; 🟢 强定价权（毛利44%，+8pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,中际旭创,121
603459,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+117%，营收+22%）; 🟢 健康扩产（CAPEX+57%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,红板科技,117
688279,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+112%，营收+50%）; 🟢 定价权稳定（毛利52%，波动0.7pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,峰岹科技,112
300556,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+107%，营收+33%）; 🟢 健康扩产（CAPEX+78%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,丝路视觉,107
688820,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+106%，营收+7%）; 🟢 ROIC提升（+1.5pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,盛合晶微,106
688678,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+102%，营收+65%）; 🟢 ROIC提升（+0.6pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,福立旺,102
603881,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+101%，营收+-4%），需求强劲; 🟢 健康扩产（CAPEX+139%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,数据港,101
688368,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+100%，营收+99%）; 🟢 健康扩产（CAPEX+64%，ROIC↑），产能释放可期; 🟢 强定价权（毛利38%，+0pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,晶丰明源,100
688371,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+95%，营收+-22%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,菲沃泰,95
688550,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+93%，营收+2%）; 🟢 ROIC提升（+0.6pp），资本效率持续改善; 🟢 定价权稳定（毛利43%，波动1.3pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,瑞联新材,93
688401,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+92%，营收+23%）; 🟢 健康扩产（CAPEX+53%，ROIC↑），产能释放可期; 🟢 定价权稳定（毛利35%，波动0.7pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,路维光电,92
603920,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+92%，营收+17%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,世运电路,92
300046,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+92%，营收+22%）; 🟢 ROIC提升（+1.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,台基股份,92
300130,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+91%，营收+27%）; 🟢 健康扩产（CAPEX+250%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,新国都,91
300077,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+91%，营收+43%）; 🟢 ROIC提升（+2.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,国民技术,91
300814,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+89%，营收+38%）; 🟢 ROIC提升（+0.0pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,中富电路,89
300936,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+86%，营收+49%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,中英科技,86
300590,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+83%，营收+68%）; 🟢 定价权稳定（毛利40%，波动1.8pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,移为通信,83
300679,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+83%，营收+4%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,电连技术,83
300414,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+82%，营收+23%）; 🟢 健康扩产（CAPEX+91%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,中光防雷,82
603297,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+78%，营收+28%）; 🟢 定价权稳定（毛利38%，波动1.6pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,永新光学,78
301391,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+77%，营收+16%）; 🟢 健康扩产（CAPEX+35%，ROIC↑），产能释放可期; 🟢 定价权稳定（毛利45%，波动0.3pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,卡莱特,77
301626,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+75%，营收+10%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,苏州天脉,75
688655,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+69%，营收+77%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,迅捷兴,69
688720,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+65%，营收+24%）; 🟢 ROIC提升（+0.6pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,艾森股份,65
300698,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+65%，营收+21%）; 🟢 ROIC提升（+0.2pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,万马科技,65
300102,L0,E0,Ignore,C,watch,🟢 订单高增长（合同负债+64%，营收+-49%），需求强劲; 🟢 ROIC提升（+0.4pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,乾照光电,64
300831,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+63%，营收+33%）; 🟢 强定价权（毛利58%，+7pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,派瑞股份,63
688593,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+61%，营收+9%）; 🟢 ROIC提升（+0.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,新相微,61
688153,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+59%，营收+-1%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,唯捷创芯,59
301123,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+57%，营收+40%）; 🟢 ROIC提升（+0.1pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,奕东电子,57
300739,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+57%，营收+30%）; 🟢 健康扩产（CAPEX+95%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,明阳电路,57
688109,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+56%，营收+-15%），需求强劲; 🟢 健康扩产（CAPEX+111%，ROIC↑），产能释放可期,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,品茗科技,56
603375,L0,E1,Ignore,C,watch,🟢 订单高增长（合同负债+56%，营收+-17%），需求强劲,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,盛景微,56
688378,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+55%，营收+64%）; 🟢 ROIC提升（+1.1pp），资本效率持续改善; 🟢 强定价权（毛利51%，+2pp），增长质量高,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,奥来德,55
300925,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+52%，营收+25%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,法本信息,52
300253,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+52%，营收+18%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,卫宁健康,52
002962,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+52%，营收+1%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,五方光电,52
002273,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+52%，营收+15%）; 🟢 ROIC提升（+0.4pp），资本效率持续改善; 🟢 定价权稳定（毛利31%，波动1.0pp）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,电子,水晶光电,52
300638,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+51%，营收+2%）,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,广和通,51
600776,L0,E1,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+50%，营收+16%）; 🟢 ROIC提升（+4.8pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,通信,东方通信,50
688787,L0,E0,Ignore,C,watch,🟢 需求漏斗充盈（合同负债+50%，营收+22%）; 🟢 ROIC提升（+0.6pp），资本效率持续改善,"tech_growth 范式: 探针状态机不适用, 需技术/订单类信号",矩阵未覆盖,计算机,海天瑞声,50
